full_name;age;season;position;Current Club;minutes_played_overall;nationality;goals_overall;assists_overall;penalty_goals;yellow_cards_overall;red_cards_overall
Jonjoe Kenny;25;2018/2019;Defender;Everton;790;England;0;1;0;1;0
Jonny;28;2018/2019;Defender;Wolverhampton Wanderers;2780;Spain;1;1;0;6;0
Jonny Evans;34;2018/2019;Defender;Leicester City;1995;Northern Ireland;1;0;0;2;0
Jordan Ayew;31;2018/2019;Forward;Crystal Palace;1186;Ghana;1;2;0;3;0
Jordan Henderson;32;2018/2019;Midfielder;Liverpool;1983;England;1;3;0;3;1
Jordan Pickford;28;2018/2019;Goalkeeper;Everton;3420;England;0;0;0;1;0
Jordon Ibe;26;2018/2019;Midfielder;AFC Bournemouth;795;England;1;1;0;1;0
Jorginho;30;2018/2019;Midfielder;Chelsea;3165;Italy;2;0;1;8;0
Jos� Diogo Dalot Teixeira;23;2018/2019;Defender;Manchester United;1015;Portugal;0;2;0;3;0
Jos� Holebas;38;2018/2019;Defender;Watford;2394;Greece;3;6;0;13;1
Jose Izquierdo;30;2018/2019;Forward;Brighton & Hove Albion;794;Colombia;0;1;0;1;0
Jos� Luis Sanmart�n Mato;32;2018/2019;Forward;Newcastle United;586;Spain;2;0;0;1;0
Joseph Willock;23;2018/2019;Midfielder;Arsenal;64;England;0;0;0;0;0
Josh Benson;22;2018/2019;Midfielder;Burnley;0;England;0;0;0;0;0
Josh Knight;25;2018/2019;Defender;Leicester City;0;England;0;0;0;0;0
Josh Murphy;27;2018/2019;Forward;Cardiff City;1825;England;3;2;0;2;0
Joshua King;30;2018/2019;Forward;AFC Bournemouth;2974;Norway;12;3;5;3;0
Joshua Sims;25;2018/2019;Midfielder;Southampton;209;England;0;1;0;0;0
Juan Marcos Foyth;24;2018/2019;Defender;Tottenham Hotspur;930;Argentina;1;0;0;4;1
Juan Mata;34;2018/2019;Midfielder;Manchester United;1294;Spain;3;2;0;3;0
Juli�n Speroni;43;2018/2019;Goalkeeper;Crystal Palace;90;Argentina;0;0;0;0;0
Juninho Bacuna;25;2018/2019;Midfielder;Huddersfield Town;1414;Netherlands;1;0;0;4;0
Junior Stanislas;32;2018/2019;Midfielder;AFC Bournemouth;1027;England;2;3;1;1;0
J�rgen Locadia;28;2018/2019;Forward;Brighton & Hove Albion;1227;Netherlands;2;0;0;1;0
Kadeem Harris;29;2018/2019;Midfielder;Cardiff City;366;England;1;0;0;1;0
Karl Darlow;32;2018/2019;Goalkeeper;Newcastle United;0;England;0;0;0;0;0
Karlan Ahearne-Grant;24;2018/2019;Forward;Huddersfield Town;874;England;4;0;0;0;0
Kasper Schmeichel;35;2018/2019;Goalkeeper;Leicester City;3420;Denmark;0;0;0;3;0
Kayne Ramsey;22;2018/2019;Midfielder;Southampton;90;England;0;0;0;0;0
Kazaiah Sterling;23;2018/2019;Forward;Tottenham Hotspur;0;England;0;0;0;0;0
Kelechi Iheanacho;26;2018/2019;Forward;Leicester City;926;Nigeria;1;3;0;2;0
Kelland Watts;23;2018/2019;Midfielder;Newcastle United;0;England;0;0;0;0;0
Ken Sema;29;2018/2019;Midfielder;Watford;755;Sweden;1;2;0;1;0
Kenneth Dahrup Zohor�;28;2018/2019;Forward;Cardiff City;746;Denmark;1;1;0;1;0
Kepa Arrizabalaga;28;2018/2019;Goalkeeper;Chelsea;3240;Spain;0;0;0;2;0
Kevin De Bruyne;31;2018/2019;Midfielder;Manchester City;974;Belgium;2;2;0;2;0
Kevin Long;32;2018/2019;Defender;Burnley;513;Republic of Ireland;0;1;0;0;0
Kevin McDonald;33;2018/2019;Midfielder;Fulham;842;Scotland;0;0;0;6;1
Kieran Dowell;25;2018/2019;Midfielder;Everton;0;England;0;0;0;0;0
Kieran Trippier;32;2018/2019;Defender;Tottenham Hotspur;2278;England;1;3;0;2;0
Konstantinos Mavropanos;24;2018/2019;Defender;Arsenal;150;Greece;0;0;0;1;0
Kortney Hause;27;2018/2019;Defender;Wolverhampton Wanderers;0;England;0;0;0;0;0
Kurt Zouma;28;2018/2019;Defender;Everton;2610;France;2;2;0;5;1
Kyle Taylor;23;2018/2019;Midfielder;AFC Bournemouth;0;England;0;0;0;0;0
Kyle Walker;32;2018/2019;Defender;Manchester City;2777;England;1;1;0;3;0
Kyle Walker-Peters;25;2018/2019;Defender;Tottenham Hotspur;374;England;0;3;0;1;0
Laurent Depoitre;33;2018/2019;Forward;Huddersfield Town;1059;Belgium;0;1;0;1;0
Laurent Koscielny;37;2018/2019;Defender;Arsenal;1328;France;3;0;0;1;0
Lazar Markovi?;28;2018/2019;Midfielder;Fulham;44;Serbia;0;0;0;0;0
Leander Dendoncker;27;2018/2019;Midfielder;Wolverhampton Wanderers;1469;Belgium;2;0;0;1;0
Leandro Bacuna;31;2018/2019;Midfielder;Cardiff City;554;Cura�ao;0;0;0;2;0
Lee Grant;39;2018/2019;Goalkeeper;Manchester United;0;England;0;0;0;0;0
Lee Peltier;35;2018/2019;Defender;Cardiff City;1542;England;0;0;0;4;0
Leighton Baines;37;2018/2019;Defender;Everton;376;England;0;0;0;0;0
Leon Balogun;34;2018/2019;Defender;Brighton & Hove Albion;591;Nigeria;1;0;0;2;0
Leonardo Bonatini Lohner Maia;28;2018/2019;Forward;Wolverhampton Wanderers;128;Brazil;0;1;0;0;0
Leroy San�;26;2018/2019;Midfielder;Manchester City;1867;Germany;10;10;0;1;0
Lewis Cass;22;2018/2019;Defender;Newcastle United;0;England;0;0;0;0;0
Lewis Cook;25;2018/2019;Midfielder;AFC Bournemouth;721;England;0;0;0;2;0
Lewis Dunk;30;2018/2019;Defender;Brighton & Hove Albion;3153;England;2;1;0;7;1
Lo�c Damour;31;2018/2019;Midfielder;Cardiff City;21;France;0;0;0;0;0
Loris Karius;29;2018/2019;Goalkeeper;Liverpool;0;Germany;0;0;0;0;0
Luca de la Torre;24;2018/2019;Midfielder;Fulham;0;USA;0;0;0;0;0
Lucas Digne;29;2018/2019;Defender;Everton;2990;France;4;4;0;6;1
Lucas Perez;34;2018/2019;Forward;West Ham United;468;Spain;3;0;0;0;0
Lucas Rodrigues Moura da Silva;30;2018/2019;Midfielder;Tottenham Hotspur;2127;Brazil;10;0;0;3;0
Lucas Torreira;26;2018/2019;Midfielder;Arsenal;2377;Uruguay;2;2;0;8;1
Luciano Vietto;28;2018/2019;Forward;Fulham;983;Argentina;1;4;0;1;0
Luka Milivojevi?;31;2018/2019;Midfielder;Crystal Palace;3420;Serbia;12;2;10;10;0
Luke Amos;25;2018/2019;Midfielder;Tottenham Hotspur;2;England;0;0;0;0;0
Luke Dreher;23;2018/2019;Midfielder;Crystal Palace;0;England;0;0;0;0;0
Luke Shaw;27;2018/2019;Defender;Manchester United;2592;England;1;4;0;11;0
Lys Mousset;26;2018/2019;Forward;AFC Bournemouth;345;France;1;0;0;1;0
Maarten Stekelenburg;40;2018/2019;Goalkeeper;Everton;0;Netherlands;0;0;0;0;0
Mamadou Sakho;32;2018/2019;Defender;Crystal Palace;2417;France;0;0;0;2;0
Manolo Gabbiadini;30;2018/2019;Forward;Southampton;470;Italy;1;0;0;0;0
Manuel Lanzini;29;2018/2019;Midfielder;West Ham United;688;Argentina;1;1;0;2;0
Marc Albrighton;32;2018/2019;Midfielder;Leicester City;1626;England;2;2;0;3;0
Marc Guehi;22;2018/2019;Defender;Chelsea;0;England;0;0;0;0;0
Marc Navarro Ceciliano;27;2018/2019;Defender;Watford;84;Spain;0;0;0;0;0
Marc Pugh;35;2018/2019;Midfielder;AFC Bournemouth;0;England;0;0;0;0;0
Marcos Alonso;31;2018/2019;Defender;Chelsea;2761;Spain;2;4;0;6;0
Marcus Bettinelli;30;2018/2019;Goalkeeper;Fulham;630;England;0;0;0;1;0
Marcus Rashford;25;2018/2019;Forward;Manchester United;2362;England;10;6;0;4;1
Mario Lemina;29;2018/2019;Midfielder;Southampton;1615;Gabon;1;1;0;5;0
Mark Noble;35;2018/2019;Midfielder;West Ham United;2308;England;5;5;4;7;1
Mark Travers;23;2018/2019;Goalkeeper;AFC Bournemouth;180;Republic of Ireland;0;0;0;0;0
Marko Arnautovi?;33;2018/2019;Forward;West Ham United;2000;Austria;10;4;1;3;0
Markus Suttner;35;2018/2019;Defender;Brighton & Hove Albion;0;Austria;0;0;0;0;0
Marouane Fellaini;34;2018/2019;Midfielder;Manchester United;744;Belgium;0;1;0;1;0
Martin D�bravka;33;2018/2019;Goalkeeper;Newcastle United;3420;Slovakia;0;0;0;1;0
Martin Kelly;32;2018/2019;Defender;Crystal Palace;1110;England;0;0;0;2;0
Mart�n Montoya;31;2018/2019;Defender;Brighton & Hove Albion;2166;Spain;0;1;0;4;0
Mason Greenwood;21;2018/2019;Midfielder;Manchester United;115;England;0;0;0;0;0
Mason Holgate;26;2018/2019;Defender;Everton;407;England;0;0;0;1;0
Mat?j Vydra;30;2018/2019;Forward;Burnley;311;Czech Republic;1;1;0;1;0
Mateo Kova?i?;28;2018/2019;Midfielder;Chelsea;1743;Croatia;0;2;0;3;0
Mathew Ryan;30;2018/2019;Goalkeeper;Brighton & Hove Albion;3060;Australia;0;0;0;2;0
Mathias Jattah-Njie J�rgensen;32;2018/2019;Defender;Huddersfield Town;2148;Denmark;3;1;0;6;0
Matt Butcher;25;2018/2019;Midfielder;AFC Bournemouth;0;England;0;0;0;0;0
Matt Doherty;30;2018/2019;Defender;Wolverhampton Wanderers;3147;Republic of Ireland;4;5;0;5;0
Matt Ritchie;33;2018/2019;Midfielder;Newcastle United;2940;Scotland;2;8;1;9;0
Matt Targett;27;2018/2019;Defender;Southampton;1185;England;1;3;0;2;0
Matteo Darmian;32;2018/2019;Defender;Manchester United;443;Italy;0;0;0;0;0
Matt�o Guendouzi Oli�;23;2018/2019;Midfielder;Arsenal;2143;France;0;0;0;9;0
Matthew Connolly;35;2018/2019;Defender;Cardiff City;0;England;0;0;0;0;0
Matthew Lowton;33;2018/2019;Defender;Burnley;1748;England;0;0;0;7;0
Matty Daly;21;2018/2019;Midfielder;Huddersfield Town;73;England;0;0;0;0;0
Max Harrison Sanders;23;2018/2019;Midfielder;Brighton & Hove Albion;0;England;0;0;0;0;0
Max Kilman;25;2018/2019;Defender;Wolverhampton Wanderers;0;England;0;0;0;0;0
Max Meyer;27;2018/2019;Midfielder;Crystal Palace;1414;Germany;1;2;0;3;0
Maxime Le Marchand;33;2018/2019;Defender;Fulham;2251;France;0;1;0;5;0
Maya Yoshida;34;2018/2019;Defender;Southampton;1520;Japan;0;1;0;0;0
Mesut �zil;34;2018/2019;Midfielder;Arsenal;1741;Germany;5;2;0;2;0
Michael Keane;29;2018/2019;Defender;Everton;2970;England;1;2;0;2;0
Michael Obafemi;22;2018/2019;Forward;Southampton;134;Republic of Ireland;1;1;0;1;0
Michail Antonio;32;2018/2019;Midfielder;West Ham United;2099;England;6;4;0;3;0
Michel Vorm;39;2018/2019;Goalkeeper;Tottenham Hotspur;180;Netherlands;0;0;0;0;0
Michy Batshuayi;29;2018/2019;Forward;Crystal Palace;756;Belgium;5;0;0;0;0
Miguel �ngel Almir�n Rejala;28;2018/2019;Midfielder;Newcastle United;763;Paraguay;0;0;0;0;0
Miguel �ngel Britos Cabrera;37;2018/2019;Defender;Watford;185;Uruguay;0;0;0;0;0
Mohamed Diam�;35;2018/2019;Midfielder;Newcastle United;2165;Senegal;0;0;0;3;0
Mohamed Elneny;30;2018/2019;Midfielder;Arsenal;381;Egypt;0;0;0;0;0
Mohamed Elyounoussi;28;2018/2019;Midfielder;Southampton;790;Norway;0;0;0;0;0
Mohamed Salah;30;2018/2019;Forward;Liverpool;3262;Egypt;22;8;3;1;0
Morgan Gibbs-White;22;2018/2019;Midfielder;Wolverhampton Wanderers;647;England;0;1;0;1;0
Morgan Schneiderlin;32;2018/2019;Midfielder;Everton;833;France;0;1;0;2;0
Moussa Dembele;35;2018/2019;Midfielder;Tottenham Hotspur;516;Belgium;0;0;0;1;0
Moussa Sissoko;33;2018/2019;Midfielder;Tottenham Hotspur;2336;France;0;3;0;2;0
N'Golo Kant�;31;2018/2019;Midfielder;Chelsea;3096;France;4;4;0;3;0
Naby Deco Ke�ta;27;2018/2019;Midfielder;Liverpool;1392;Guinea;2;1;0;0;0
Nacho Monreal;36;2018/2019;Defender;Arsenal;1861;Spain;1;3;0;5;0
Nampalys Mendy;30;2018/2019;Midfielder;Leicester City;2088;France;0;0;0;5;0
Nathan Ak�;27;2018/2019;Defender;AFC Bournemouth;3412;Netherlands;4;0;0;3;0
Nathan Holland;24;2018/2019;Midfielder;West Ham United;0;England;0;0;0;0;0
Nathan Redmond;28;2018/2019;Midfielder;Southampton;3276;England;6;4;0;3;0
Nathaniel Chalobah;27;2018/2019;Midfielder;Watford;266;England;0;0;0;2;0
Nathaniel Clyne;31;2018/2019;Defender;AFC Bournemouth;1254;England;0;1;0;2;0
Nathaniel Mendez-Laing;30;2018/2019;Midfielder;Cardiff City;984;England;4;1;1;0;0
Neeskens Kebano;30;2018/2019;Midfielder;Fulham;103;Congo DR;0;0;0;0;0
Neil Leonard Dula Etheridge;32;2018/2019;Goalkeeper;Cardiff City;3420;Philippines;0;0;0;2;0
Nemanja Mati?;34;2018/2019;Midfielder;Manchester United;2441;Serbia;1;0;0;8;1
Nicolas Otamendi;34;2018/2019;Defender;Manchester City;1233;Argentina;0;0;0;1;0
Nikola Tavares;23;2018/2019;Defender;Crystal Palace;0;England;0;0;0;0;0
Nnamdi Ofoborh;22;2018/2019;Midfielder;AFC Bournemouth;0;England;0;0;0;0;0
Oleksandr Zinchenko;25;2018/2019;Midfielder;Manchester City;1153;Ukraine;0;3;0;1;0
Oliver Skipp;22;2018/2019;Midfielder;Tottenham Hotspur;216;England;0;0;0;0;0
Olivier Giroud;36;2018/2019;Forward;Chelsea;832;France;2;4;0;1;0
Onyinye Wilfred Ndidi;25;2018/2019;Midfielder;Leicester City;3299;Nigeria;2;0;0;8;0
Oriol Romeu;31;2018/2019;Midfielder;Southampton;2140;Spain;1;0;0;11;0
Oumar Niasse;32;2018/2019;Forward;Cardiff City;998;Senegal;0;0;0;0;0
Pablo Zabaleta;37;2018/2019;Defender;West Ham United;2092;Argentina;0;1;0;4;0
Pape N'Diaye Souar�;32;2018/2019;Defender;Crystal Palace;0;Senegal;0;0;0;0;0
Pascal Gro�;31;2018/2019;Midfielder;Brighton & Hove Albion;1878;Germany;3;3;1;1;0
Patrick van Aanholt;32;2018/2019;Defender;Crystal Palace;3198;Netherlands;3;2;0;3;0
Paul Dummett;31;2018/2019;Defender;Newcastle United;1986;Wales;0;0;0;1;0
Paul Pogba;29;2018/2019;Midfielder;Manchester United;3011;France;13;9;7;6;0
Paulo Dino Gazzaniga;30;2018/2019;Goalkeeper;Tottenham Hotspur;270;Argentina;0;0;0;0;0
Pedro Obiang;30;2018/2019;Midfielder;West Ham United;1121;Equatorial Guinea;0;1;0;0;0
Pedro Rodriguez;35;2018/2019;Midfielder;Chelsea;1780;Spain;8;2;0;2;0
Peter Crouch;41;2018/2019;Forward;Burnley;86;England;0;0;0;1;0
Petr ?ech;40;2018/2019;Goalkeeper;Arsenal;585;Czech Republic;0;0;0;0;0
Phil Bardsley;37;2018/2019;Defender;Burnley;1672;Scotland;0;0;0;9;0
Phil Jagielka;40;2018/2019;Defender;Everton;329;England;1;0;0;1;1
Phil Jones;30;2018/2019;Defender;Manchester United;1263;England;0;1;0;1;0
Philip Billing;26;2018/2019;Midfielder;Huddersfield Town;2192;Denmark;2;0;0;7;0
Philip Foden;22;2018/2019;Midfielder;Manchester City;327;England;1;0;0;0;0
Philippe Sandler;25;2018/2019;Defender;Manchester City;0;Netherlands;0;0;0;0;0
Pierre-Emerick Aubameyang;33;2018/2019;Forward;Arsenal;2731;Gabon;22;5;4;0;0
Pierre-Emile H�jbjerg;27;2018/2019;Midfielder;Southampton;2764;Denmark;4;3;0;10;2
Rachid Ghezzal;30;2018/2019;Forward;Leicester City;738;Algeria;1;0;0;3;0
Rafael Euclides Soares Camacho;22;2018/2019;Midfielder;Liverpool;0;Portugal;0;0;0;0;0
Raheem Sterling;27;2018/2019;Forward;Manchester City;2777;England;17;10;0;3;0
Rajiv van La Parra;31;2018/2019;Midfielder;Huddersfield Town;407;Netherlands;0;0;0;0;0
Ramadan Sobhi;25;2018/2019;Forward;Huddersfield Town;75;Egypt;0;0;0;0;0
Ra�l Alonso Jim�nez Rodr�guez;31;2018/2019;Forward;Wolverhampton Wanderers;3124;Mexico;13;7;2;4;0
Rhys Healey;27;2018/2019;Forward;Cardiff City;49;England;0;0;0;0;0
Ricardo Domingos Barbosa Pereira;29;2018/2019;Defender;Leicester City;3125;Portugal;2;6;0;7;0
Richarlison de Andrade;25;2018/2019;Forward;Everton;2679;Brazil;13;1;0;6;1
Riyad Mahrez;31;2018/2019;Midfielder;Manchester City;1339;Algeria;7;4;0;0;0
Rob Holding;27;2018/2019;Defender;Arsenal;807;England;0;0;0;1;0
Robbie Brady;30;2018/2019;Midfielder;Burnley;715;Republic of Ireland;0;1;0;4;1
Robert Kenedy Nunes do Nascimento;26;2018/2019;Midfielder;Newcastle United;1344;Brazil;1;1;0;1;0
Robert Snodgrass;35;2018/2019;Midfielder;West Ham United;2222;Scotland;2;5;0;10;0
Roberto Firmino;31;2018/2019;Forward;Liverpool;2620;Brazil;12;6;1;0;0
Roberto Maximiliano Pereyra;31;2018/2019;Forward;Watford;2825;Argentina;6;1;0;3;0
Romain Sa�ss;32;2018/2019;Midfielder;Wolverhampton Wanderers;1144;Morocco;2;0;0;7;0
Romelu Lukaku;29;2018/2019;Forward;Manchester United;2130;Belgium;12;0;0;4;0
Rondon;33;2018/2019;Forward;Newcastle United;2609;Venezuela;11;7;0;1;0
Ross Barkley;28;2018/2019;Midfielder;Chelsea;1241;England;3;5;0;1;0
R�ben Diogo Da Silva Neves;25;2018/2019;Midfielder;Wolverhampton Wanderers;3009;Portugal;4;3;2;8;0
R�ben Gon�alo Silva Nascimento Vinagre;23;2018/2019;Defender;Wolverhampton Wanderers;703;Portugal;0;0;0;1;0
Ruben Loftus-Cheek;26;2018/2019;Midfielder;Chelsea;983;England;6;2;0;0;0
Rui Pedro dos Santos Patr�cio;34;2018/2019;Goalkeeper;Wolverhampton Wanderers;3330;Portugal;0;0;0;0;0
Ryan Bennett;32;2018/2019;Defender;Wolverhampton Wanderers;3060;England;1;0;0;12;0
Ryan Bertrand;33;2018/2019;Defender;Southampton;2160;England;1;0;0;8;0
Ryan Fraser;28;2018/2019;Midfielder;AFC Bournemouth;3173;Scotland;7;14;0;2;0
Ryan Fredericks;30;2018/2019;Midfielder;West Ham United;1085;England;1;0;0;5;0
Ryan Giles;22;2018/2019;Midfielder;Wolverhampton Wanderers;0;England;0;0;0;0;0
Ryan Guno Babel;35;2018/2019;Forward;Fulham;1260;Netherlands;5;3;0;3;0
Ryan Schofield;22;2018/2019;Goalkeeper;Huddersfield Town;0;England;0;0;0;0;0
Ryan Sessegnon;22;2018/2019;Defender;Fulham;2298;England;2;6;0;0;0
Sadio Man�;30;2018/2019;Forward;Liverpool;3086;Senegal;22;1;0;2;0
Sam Gallagher;27;2018/2019;Forward;Southampton;30;England;0;0;0;0;0
Sam Surridge;24;2018/2019;Forward;AFC Bournemouth;11;England;0;0;0;0;0
Sam Vokes;33;2018/2019;Forward;Burnley;913;Wales;3;0;0;0;0
Sam Woods;24;2018/2019;Defender;Crystal Palace;0;England;0;0;0;0;0
Samir Nasri;35;2018/2019;Midfielder;West Ham United;246;France;0;2;0;0;0
Sandro Ramirez;27;2018/2019;Forward;Everton;0;Spain;0;0;0;0;0
Scott Dann;35;2018/2019;Defender;Crystal Palace;660;England;0;1;0;1;0
Scott McTominay;25;2018/2019;Midfielder;Manchester United;861;England;2;0;0;1;0
Sead Kola�inac;29;2018/2019;Defender;Arsenal;1891;Bosnia and Herzegovina;0;5;0;5;0
S�amus Coleman;34;2018/2019;Defender;Everton;2560;Republic of Ireland;2;2;0;1;0
Sean Longstaff;25;2018/2019;Midfielder;Newcastle United;688;England;1;0;0;2;0
Sean Morrison;31;2018/2019;Defender;Cardiff City;3040;England;1;3;0;6;0
Sebastian Pr�dl;35;2018/2019;Defender;Watford;13;Austria;0;0;0;0;0
Serge Aurier;29;2018/2019;Defender;Tottenham Hotspur;564;Ivory Coast;0;2;0;1;0
Sergio Aguero;34;2018/2019;Forward;Manchester City;2480;Argentina;21;8;2;3;0
Sergio Germ�n Romero;35;2018/2019;Goalkeeper;Manchester United;0;Argentina;0;0;0;0;0
Sergio Rico;29;2018/2019;Goalkeeper;Fulham;2610;Spain;0;0;0;1;0
Shane Duffy;30;2018/2019;Defender;Brighton & Hove Albion;3088;Republic of Ireland;5;1;0;5;1
Shane Long;35;2018/2019;Forward;Southampton;1269;Republic of Ireland;5;1;0;3;0
Shinji Okazaki;36;2018/2019;Forward;Leicester City;269;Japan;0;1;0;0;0
Shkodran Mustafi;30;2018/2019;Defender;Arsenal;2617;Germany;2;0;0;9;0
Simon Francis;37;2018/2019;Defender;AFC Bournemouth;1226;England;0;2;0;1;0
Simon Mignolet;34;2018/2019;Goalkeeper;Liverpool;0;Belgium;0;0;0;0;0
Sokratis Papastathopoulos;34;2018/2019;Defender;Arsenal;2199;Greece;1;2;0;12;0
Solomon March;28;2018/2019;Midfielder;Brighton & Hove Albion;2473;England;1;5;0;1;0
Souleymane Bamba;37;2018/2019;Defender;Cardiff City;2475;Ivory Coast;4;1;0;7;0
Stefan Marius Johansen;31;2018/2019;Midfielder;Fulham;412;Norway;0;0;0;4;0
Stefano Okaka;33;2018/2019;Forward;Watford;22;Italy;0;0;0;1;0
Stephan Lichtsteiner;38;2018/2019;Defender;Arsenal;940;Switzerland;0;0;0;3;0
Stephen Ward;37;2018/2019;Defender;Burnley;230;Republic of Ireland;0;0;0;1;0
Steve Cook;31;2018/2019;Defender;AFC Bournemouth;2787;England;1;1;0;3;0
Steve Mouni�;28;2018/2019;Forward;Huddersfield Town;1777;Benin;2;3;0;2;1
Steven Davis;37;2018/2019;Midfielder;Southampton;96;Northern Ireland;0;1;0;0;0
Steven Defour;34;2018/2019;Midfielder;Burnley;452;Belgium;0;0;0;0;0
Stuart Armstrong;30;2018/2019;Midfielder;Southampton;1432;Scotland;3;2;0;2;0
Sullay Kaikai;27;2018/2019;Midfielder;Crystal Palace;0;England;0;0;0;0;0
Sung-Yeung Ki;33;2018/2019;Midfielder;Newcastle United;1302;South Korea;0;1;0;2;0
Tahith Chong;22;2018/2019;Forward;Manchester United;36;Netherlands;0;0;0;0;0
Terence Kongolo;28;2018/2019;Defender;Huddersfield Town;2722;Netherlands;1;1;0;4;0
Theo Walcott;33;2018/2019;Forward;Everton;2122;England;5;2;0;1;0
Tim Ream;35;2018/2019;Defender;Fulham;2051;USA;0;0;0;1;0
Timothy Eyoma;22;2018/2019;Defender;Tottenham Hotspur;0;England;0;0;0;0;0
Timothy Fosu-Mensah;24;2018/2019;Defender;Fulham;795;Netherlands;0;0;0;3;0
Toby Alderweireld;33;2018/2019;Defender;Tottenham Hotspur;2924;Belgium;0;0;0;3;0
Tom Cairney;31;2018/2019;Midfielder;Fulham;2198;Scotland;1;1;0;0;0
Tom Cleverley;33;2018/2019;Midfielder;Watford;470;England;1;0;0;2;0
Tom Davies;24;2018/2019;Midfielder;Everton;975;England;0;0;0;3;0
Tom Heaton;36;2018/2019;Goalkeeper;Burnley;1710;England;0;0;0;3;0
Tom Smith;30;2018/2019;Defender;Huddersfield Town;1141;England;0;0;0;3;1
Trent Alexander-Arnold;24;2018/2019;Defender;Liverpool;2467;England;1;12;0;3;0
Troy Deeney;34;2018/2019;Forward;Watford;2548;England;9;5;1;5;1
Tyias Browning;28;2018/2019;Defender;Everton;0;England;0;0;0;0;0
Tyreke Johnson;24;2018/2019;Defender;Southampton;0;England;0;0;0;0;0
Tyrone Mings;29;2018/2019;Defender;AFC Bournemouth;141;England;0;0;0;0;0
Vicente Guaita;35;2018/2019;Goalkeeper;Crystal Palace;1755;Spain;0;0;0;2;0
Vicente Iborra De La Fuente;34;2018/2019;Midfielder;Leicester City;226;Spain;0;0;0;0;0
V�ctor Camarasa;28;2018/2019;Midfielder;Cardiff City;2579;Spain;5;4;1;6;0
Victor Moses;31;2018/2019;Midfielder;Chelsea;26;Nigeria;0;0;0;0;0
Victor Nilsson Lindel�f;28;2018/2019;Defender;Manchester United;2602;Sweden;1;1;0;1;0
Victor Wanyama;31;2018/2019;Midfielder;Tottenham Hotspur;509;Kenya;1;0;0;2;0
Viktor Gy�keres;24;2018/2019;Forward;Brighton & Hove Albion;0;Sweden;0;0;0;0;0
Vincent Janssen;28;2018/2019;Forward;Tottenham Hotspur;36;Netherlands;0;0;0;0;0
Vincent Kompany;36;2018/2019;Defender;Manchester City;1223;Belgium;1;0;0;6;0
Virgil van Dijk;31;2018/2019;Defender;Liverpool;3385;Netherlands;4;2;0;1;0
Wayne Hennessey;35;2018/2019;Goalkeeper;Crystal Palace;1575;Wales;0;0;0;0;0
Wes Morgan;38;2018/2019;Defender;Leicester City;1926;Jamaica;3;0;0;5;2
Wesley Hoedt;28;2018/2019;Defender;Southampton;1170;Netherlands;0;0;0;2;0
Wilfredo Daniel Caballero;41;2018/2019;Goalkeeper;Chelsea;180;Argentina;0;0;0;0;0
Wilfried Zaha;29;2018/2019;Midfielder;Crystal Palace;3041;Ivory Coast;10;5;0;10;1
Will Hughes;27;2018/2019;Midfielder;Watford;2436;England;2;4;0;5;0
Will Norris;29;2018/2019;Goalkeeper;Wolverhampton Wanderers;0;England;0;0;0;0;0
Willian;34;2018/2019;Forward;Chelsea;2108;Brazil;3;6;0;2;0
Willy Boly;31;2018/2019;Defender;Wolverhampton Wanderers;3169;France;4;0;0;3;1
Xherdan Shaqiri;31;2018/2019;Midfielder;Liverpool;1058;Switzerland;6;3;0;2;0
Yann Valery;23;2018/2019;Defender;Southampton;1715;France;2;1;0;5;1
Yerry Fernando Mina Gonz�lez;28;2018/2019;Defender;Everton;890;Colombia;1;0;0;3;0
Yoshinori Muto;30;2018/2019;Forward;Newcastle United;516;Japan;1;0;0;1;0
Youri Tielemans;25;2018/2019;Midfielder;Leicester City;1092;Belgium;3;4;0;2;0
Yves Bissouma;26;2018/2019;Midfielder;Brighton & Hove Albion;1769;Mali;0;0;0;5;0
Zechariah Medley;22;2018/2019;Defender;Arsenal;0;England;0;0;0;0;0
Zeze Steven Sessegnon;22;2018/2019;Defender;Fulham;0;England;0;0;0;0;0
?ukasz Fabia?ski;37;2018/2019;Goalkeeper;West Ham United;3420;Poland;0;0;0;0;0
;;;;;;;;;;;;
